instant,dateday,season,year,month,weekday,workingday,weathersit,temp,temp_feeling,hum,windspeed,general,member,amount
251,2011-09-08,fall,2011,Sep,Thu,Workday,Light Snow,0.63,0.56,0.94,0.19,153,1689,1842
252,2011-09-09,fall,2011,Sep,Fri,Workday,Mist,0.65,0.58,0.90,0.12,417,3127,3544
253,2011-09-10,fall,2011,Sep,Sat,Holiday,Clear,0.66,0.61,0.75,0.15,1750,3595,5345
254,2011-09-11,fall,2011,Sep,Sun,Holiday,Clear,0.65,0.61,0.71,0.12,1633,3413,5046
255,2011-09-12,fall,2011,Sep,Mon,Workday,Clear,0.64,0.60,0.69,0.09,690,4023,4713
256,2011-09-13,fall,2011,Sep,Tue,Workday,Clear,0.65,0.60,0.71,0.14,701,4062,4763
257,2011-09-14,fall,2011,Sep,Wed,Workday,Clear,0.67,0.63,0.70,0.17,647,4138,4785
258,2011-09-15,fall,2011,Sep,Thu,Workday,Mist,0.58,0.55,0.71,0.27,428,3231,3659
259,2011-09-16,fall,2011,Sep,Fri,Workday,Mist,0.47,0.46,0.59,0.16,742,4018,4760
260,2011-09-17,fall,2011,Sep,Sat,Holiday,Mist,0.49,0.48,0.72,0.19,1434,3077,4511
261,2011-09-18,fall,2011,Sep,Sun,Holiday,Clear,0.51,0.49,0.69,0.18,1353,2921,4274
262,2011-09-19,fall,2011,Sep,Mon,Workday,Mist,0.55,0.53,0.69,0.15,691,3848,4539
263,2011-09-20,fall,2011,Sep,Tue,Workday,Mist,0.56,0.53,0.88,0.13,438,3203,3641
264,2011-09-21,fall,2011,Sep,Wed,Workday,Mist,0.59,0.55,0.90,0.10,539,3813,4352
265,2011-09-22,fall,2011,Sep,Thu,Workday,Mist,0.63,0.55,0.90,0.13,555,4240,4795
266,2011-09-23,winter,2011,Sep,Fri,Workday,Mist,0.61,0.52,0.97,0.08,258,2137,2395
267,2011-09-24,winter,2011,Sep,Sat,Holiday,Mist,0.61,0.56,0.86,0.08,1776,3647,5423
268,2011-09-25,winter,2011,Sep,Sun,Holiday,Mist,0.63,0.57,0.84,0.05,1544,3466,5010
269,2011-09-26,winter,2011,Sep,Mon,Workday,Mist,0.65,0.59,0.85,0.11,684,3946,4630
270,2011-09-27,winter,2011,Sep,Tue,Workday,Mist,0.64,0.57,0.89,0.12,477,3643,4120
271,2011-09-28,winter,2011,Sep,Wed,Workday,Mist,0.64,0.58,0.85,0.15,480,3427,3907
272,2011-09-29,winter,2011,Sep,Thu,Workday,Clear,0.62,0.57,0.70,0.17,653,4186,4839
273,2011-09-30,winter,2011,Sep,Fri,Workday,Clear,0.56,0.54,0.65,0.21,830,4372,5202
274,2011-10-01,winter,2011,Oct,Sat,Holiday,Mist,0.41,0.41,0.75,0.29,480,1949,2429
275,2011-10-02,winter,2011,Oct,Sun,Holiday,Mist,0.36,0.35,0.79,0.22,616,2302,2918
276,2011-10-03,winter,2011,Oct,Mon,Workday,Mist,0.38,0.39,0.76,0.08,330,3240,3570
277,2011-10-04,winter,2011,Oct,Tue,Workday,Clear,0.48,0.47,0.71,0.21,486,3970,4456
278,2011-10-05,winter,2011,Oct,Wed,Workday,Clear,0.54,0.53,0.65,0.18,559,4267,4826
279,2011-10-06,winter,2011,Oct,Thu,Workday,Clear,0.49,0.48,0.62,0.13,639,4126,4765
280,2011-10-07,winter,2011,Oct,Fri,Workday,Clear,0.51,0.50,0.68,0.02,949,4036,4985
281,2011-10-08,winter,2011,Oct,Sat,Holiday,Clear,0.52,0.51,0.70,0.05,2235,3174,5409
282,2011-10-09,winter,2011,Oct,Sun,Holiday,Clear,0.54,0.52,0.73,0.06,2397,3114,5511
283,2011-10-10,winter,2011,Oct,Mon,Holiday,Clear,0.57,0.54,0.73,0.04,1514,3603,5117
284,2011-10-11,winter,2011,Oct,Tue,Workday,Mist,0.57,0.55,0.81,0.14,667,3896,4563
285,2011-10-12,winter,2011,Oct,Wed,Workday,Light Snow,0.54,0.52,0.91,0.25,217,2199,2416
286,2011-10-13,winter,2011,Oct,Thu,Workday,Mist,0.59,0.55,0.90,0.14,290,2623,2913
287,2011-10-14,winter,2011,Oct,Fri,Workday,Mist,0.55,0.53,0.72,0.22,529,3115,3644
288,2011-10-15,winter,2011,Oct,Sat,Holiday,Clear,0.51,0.50,0.48,0.26,1899,3318,5217
289,2011-10-16,winter,2011,Oct,Sun,Holiday,Clear,0.51,0.50,0.49,0.28,1748,3293,5041
290,2011-10-17,winter,2011,Oct,Mon,Workday,Clear,0.53,0.51,0.58,0.18,713,3857,4570
291,2011-10-18,winter,2011,Oct,Tue,Workday,Mist,0.53,0.52,0.70,0.11,637,4111,4748
292,2011-10-19,winter,2011,Oct,Wed,Workday,Light Snow,0.54,0.51,0.90,0.24,254,2170,2424
293,2011-10-20,winter,2011,Oct,Thu,Workday,Clear,0.48,0.47,0.64,0.42,471,3724,4195
294,2011-10-21,winter,2011,Oct,Fri,Workday,Clear,0.43,0.42,0.57,0.22,676,3628,4304
295,2011-10-22,winter,2011,Oct,Sat,Holiday,Clear,0.42,0.43,0.63,0.09,1499,2809,4308
296,2011-10-23,winter,2011,Oct,Sun,Holiday,Clear,0.42,0.42,0.74,0.10,1619,2762,4381
297,2011-10-24,winter,2011,Oct,Mon,Workday,Clear,0.46,0.46,0.77,0.12,699,3488,4187
298,2011-10-25,winter,2011,Oct,Tue,Workday,Clear,0.47,0.46,0.62,0.17,695,3992,4687
299,2011-10-26,winter,2011,Oct,Wed,Workday,Mist,0.48,0.47,0.72,0.15,404,3490,3894
300,2011-10-27,winter,2011,Oct,Thu,Workday,Mist,0.47,0.46,0.81,0.20,240,2419,2659
301,2011-10-28,winter,2011,Oct,Fri,Workday,Mist,0.33,0.32,0.59,0.23,456,3291,3747
302,2011-10-29,winter,2011,Oct,Sat,Holiday,Light Snow,0.25,0.23,0.88,0.35,57,570,627
303,2011-10-30,winter,2011,Oct,Sun,Holiday,Clear,0.32,0.32,0.62,0.18,885,2446,3331
304,2011-10-31,winter,2011,Oct,Mon,Workday,Clear,0.34,0.36,0.70,0.11,362,3307,3669
305,2011-11-01,winter,2011,Nov,Tue,Workday,Clear,0.40,0.40,0.68,0.14,410,3658,4068
306,2011-11-02,winter,2011,Nov,Wed,Workday,Clear,0.38,0.39,0.72,0.08,370,3816,4186
307,2011-11-03,winter,2011,Nov,Thu,Workday,Clear,0.41,0.41,0.70,0.14,318,3656,3974
308,2011-11-04,winter,2011,Nov,Fri,Workday,Mist,0.40,0.40,0.62,0.27,470,3576,4046
309,2011-11-05,winter,2011,Nov,Sat,Holiday,Clear,0.33,0.32,0.52,0.19,1156,2770,3926
310,2011-11-06,winter,2011,Nov,Sun,Holiday,Clear,0.35,0.36,0.73,0.09,952,2697,3649
311,2011-11-07,winter,2011,Nov,Mon,Workday,Clear,0.40,0.40,0.76,0.06,373,3662,4035
312,2011-11-08,winter,2011,Nov,Tue,Workday,Clear,0.41,0.41,0.72,0.07,376,3829,4205
313,2011-11-09,winter,2011,Nov,Wed,Workday,Clear,0.40,0.41,0.76,0.06,305,3804,4109
314,2011-11-10,winter,2011,Nov,Thu,Workday,Mist,0.38,0.37,0.81,0.19,190,2743,2933
315,2011-11-11,winter,2011,Nov,Fri,Holiday,Clear,0.32,0.31,0.45,0.31,440,2928,3368
316,2011-11-12,winter,2011,Nov,Sat,Holiday,Clear,0.36,0.36,0.55,0.21,1275,2792,4067
317,2011-11-13,winter,2011,Nov,Sun,Holiday,Clear,0.44,0.43,0.46,0.28,1004,2713,3717
318,2011-11-14,winter,2011,Nov,Mon,Workday,Clear,0.53,0.52,0.59,0.31,595,3891,4486
319,2011-11-15,winter,2011,Nov,Tue,Workday,Mist,0.53,0.51,0.69,0.20,449,3746,4195
320,2011-11-16,winter,2011,Nov,Wed,Workday,Light Snow,0.46,0.45,0.93,0.14,145,1672,1817
321,2011-11-17,winter,2011,Nov,Thu,Workday,Mist,0.34,0.32,0.58,0.31,139,2914,3053
322,2011-11-18,winter,2011,Nov,Fri,Workday,Clear,0.27,0.27,0.41,0.17,245,3147,3392
323,2011-11-19,winter,2011,Nov,Sat,Holiday,Clear,0.33,0.32,0.50,0.22,943,2720,3663
324,2011-11-20,winter,2011,Nov,Sun,Holiday,Mist,0.46,0.46,0.68,0.19,787,2733,3520
325,2011-11-21,winter,2011,Nov,Mon,Workday,Light Snow,0.45,0.45,0.91,0.14,220,2545,2765
326,2011-11-22,winter,2011,Nov,Tue,Workday,Light Snow,0.42,0.42,0.96,0.12,69,1538,1607
327,2011-11-23,winter,2011,Nov,Wed,Workday,Mist,0.44,0.43,0.76,0.34,112,2454,2566
328,2011-11-24,winter,2011,Nov,Thu,Holiday,Clear,0.37,0.37,0.55,0.17,560,935,1495
329,2011-11-25,winter,2011,Nov,Fri,Workday,Clear,0.38,0.38,0.64,0.10,1095,1697,2792
330,2011-11-26,winter,2011,Nov,Sat,Holiday,Clear,0.38,0.39,0.68,0.07,1249,1819,3068
331,2011-11-27,winter,2011,Nov,Sun,Holiday,Clear,0.46,0.46,0.70,0.21,810,2261,3071
332,2011-11-28,winter,2011,Nov,Mon,Workday,Clear,0.50,0.49,0.74,0.14,253,3614,3867
333,2011-11-29,winter,2011,Nov,Tue,Workday,Mist,0.46,0.45,0.83,0.26,96,2818,2914
334,2011-11-30,winter,2011,Nov,Wed,Workday,Clear,0.33,0.31,0.61,0.27,188,3425,3613
335,2011-12-01,winter,2011,Dec,Thu,Workday,Clear,0.31,0.31,0.52,0.22,182,3545,3727
336,2011-12-02,winter,2011,Dec,Fri,Workday,Clear,0.31,0.33,0.63,0.10,268,3672,3940
337,2011-12-03,winter,2011,Dec,Sat,Holiday,Clear,0.30,0.31,0.61,0.10,706,2908,3614
338,2011-12-04,winter,2011,Dec,Sun,Holiday,Clear,0.33,0.35,0.78,0.08,634,2851,3485
339,2011-12-05,winter,2011,Dec,Mon,Workday,Mist,0.39,0.39,0.83,0.06,233,3578,3811
340,2011-12-06,winter,2011,Dec,Tue,Workday,Light Snow,0.46,0.46,0.95,0.23,126,2468,2594
341,2011-12-07,winter,2011,Dec,Wed,Workday,Light Snow,0.41,0.40,0.97,0.27,50,655,705
342,2011-12-08,winter,2011,Dec,Thu,Workday,Clear,0.27,0.26,0.58,0.24,150,3172,3322
343,2011-12-09,winter,2011,Dec,Fri,Workday,Clear,0.29,0.32,0.70,0.08,261,3359,3620
344,2011-12-10,winter,2011,Dec,Sat,Holiday,Clear,0.28,0.27,0.51,0.23,502,2688,3190
345,2011-12-11,winter,2011,Dec,Sun,Holiday,Clear,0.22,0.25,0.49,0.07,377,2366,2743
346,2011-12-12,winter,2011,Dec,Mon,Workday,Clear,0.24,0.27,0.67,0.06,143,3167,3310
347,2011-12-13,winter,2011,Dec,Tue,Workday,Clear,0.28,0.30,0.59,0.14,155,3368,3523
348,2011-12-14,winter,2011,Dec,Wed,Workday,Mist,0.32,0.34,0.66,0.06,178,3562,3740
349,2011-12-15,winter,2011,Dec,Thu,Workday,Mist,0.42,0.41,0.63,0.27,181,3528,3709
350,2011-12-16,winter,2011,Dec,Fri,Workday,Mist,0.38,0.36,0.50,0.26,178,3399,3577
351,2011-12-17,winter,2011,Dec,Sat,Holiday,Mist,0.26,0.25,0.56,0.24,275,2464,2739
352,2011-12-18,winter,2011,Dec,Sun,Holiday,Clear,0.24,0.25,0.59,0.17,220,2211,2431
353,2011-12-19,winter,2011,Dec,Mon,Workday,Clear,0.28,0.28,0.64,0.17,260,3143,3403
354,2011-12-20,winter,2011,Dec,Tue,Workday,Mist,0.39,0.40,0.60,0.06,216,3534,3750
355,2011-12-21,spring,2011,Dec,Wed,Workday,Mist,0.43,0.43,0.86,0.22,107,2553,2660
356,2011-12-22,spring,2011,Dec,Thu,Workday,Mist,0.42,0.43,0.76,0.05,227,2841,3068
357,2011-12-23,spring,2011,Dec,Fri,Workday,Clear,0.37,0.38,0.69,0.27,163,2046,2209
358,2011-12-24,spring,2011,Dec,Sat,Holiday,Clear,0.30,0.30,0.54,0.19,155,856,1011
359,2011-12-25,spring,2011,Dec,Sun,Holiday,Clear,0.27,0.28,0.68,0.16,303,451,754
360,2011-12-26,spring,2011,Dec,Mon,Holiday,Clear,0.32,0.32,0.51,0.24,430,887,1317
361,2011-12-27,spring,2011,Dec,Tue,Workday,Mist,0.33,0.33,0.76,0.19,103,1059,1162
362,2011-12-28,spring,2011,Dec,Wed,Workday,Clear,0.30,0.28,0.50,0.29,255,2047,2302
363,2011-12-29,spring,2011,Dec,Thu,Workday,Clear,0.25,0.26,0.57,0.12,254,2169,2423
364,2011-12-30,spring,2011,Dec,Fri,Workday,Clear,0.31,0.32,0.64,0.13,491,2508,2999
365,2011-12-31,spring,2011,Dec,Sat,Holiday,Clear,0.41,0.41,0.62,0.22,665,1820,2485
366,2012-01-01,spring,2012,Jan,Sun,Holiday,Clear,0.37,0.38,0.69,0.19,686,1608,2294
367,2012-01-02,spring,2012,Jan,Mon,Holiday,Clear,0.27,0.25,0.38,0.33,244,1707,1951
368,2012-01-03,spring,2012,Jan,Tue,Workday,Clear,0.15,0.13,0.44,0.37,89,2147,2236
369,2012-01-04,spring,2012,Jan,Wed,Workday,Mist,0.11,0.12,0.41,0.18,95,2273,2368
370,2012-01-05,spring,2012,Jan,Thu,Workday,Clear,0.27,0.28,0.52,0.13,140,3132,3272
371,2012-01-06,spring,2012,Jan,Fri,Workday,Clear,0.33,0.34,0.54,0.17,307,3791,4098
372,2012-01-07,spring,2012,Jan,Sat,Holiday,Clear,0.39,0.39,0.53,0.17,1070,3451,4521
373,2012-01-08,spring,2012,Jan,Sun,Holiday,Clear,0.34,0.34,0.47,0.19,599,2826,3425
374,2012-01-09,spring,2012,Jan,Mon,Workday,Mist,0.22,0.25,0.70,0.10,106,2270,2376
375,2012-01-10,spring,2012,Jan,Tue,Workday,Clear,0.31,0.32,0.65,0.19,173,3425,3598
376,2012-01-11,spring,2012,Jan,Wed,Workday,Mist,0.27,0.28,0.85,0.13,92,2085,2177
377,2012-01-12,spring,2012,Jan,Thu,Workday,Mist,0.38,0.38,0.80,0.18,269,3828,4097
378,2012-01-13,spring,2012,Jan,Fri,Workday,Clear,0.27,0.25,0.51,0.38,174,3040,3214
379,2012-01-14,spring,2012,Jan,Sat,Holiday,Clear,0.18,0.18,0.46,0.19,333,2160,2493
380,2012-01-15,spring,2012,Jan,Sun,Holiday,Clear,0.17,0.16,0.42,0.25,284,2027,2311
381,2012-01-16,spring,2012,Jan,Mon,Holiday,Clear,0.19,0.19,0.52,0.23,217,2081,2298
382,2012-01-17,spring,2012,Jan,Tue,Workday,Mist,0.37,0.36,0.72,0.35,127,2808,2935
383,2012-01-18,spring,2012,Jan,Wed,Workday,Clear,0.30,0.28,0.44,0.42,109,3267,3376
384,2012-01-19,spring,2012,Jan,Thu,Workday,Clear,0.19,0.19,0.50,0.22,130,3162,3292
385,2012-01-20,spring,2012,Jan,Fri,Workday,Mist,0.22,0.22,0.45,0.20,115,3048,3163
386,2012-01-21,spring,2012,Jan,Sat,Holiday,Mist,0.17,0.17,0.83,0.22,67,1234,1301
387,2012-01-22,spring,2012,Jan,Sun,Holiday,Mist,0.16,0.16,0.80,0.20,196,1781,1977
388,2012-01-23,spring,2012,Jan,Mon,Workday,Mist,0.22,0.24,0.91,0.11,145,2287,2432
389,2012-01-24,spring,2012,Jan,Tue,Workday,Clear,0.34,0.35,0.84,0.12,439,3900,4339
390,2012-01-25,spring,2012,Jan,Wed,Workday,Clear,0.29,0.29,0.64,0.16,467,3803,4270
391,2012-01-26,spring,2012,Jan,Thu,Workday,Mist,0.34,0.36,0.77,0.07,244,3831,4075
392,2012-01-27,spring,2012,Jan,Fri,Workday,Mist,0.42,0.42,0.74,0.34,269,3187,3456
393,2012-01-28,spring,2012,Jan,Sat,Holiday,Clear,0.32,0.33,0.54,0.21,775,3248,4023
394,2012-01-29,spring,2012,Jan,Sun,Holiday,Clear,0.28,0.27,0.31,0.24,558,2685,3243
395,2012-01-30,spring,2012,Jan,Mon,Workday,Clear,0.27,0.26,0.40,0.22,126,3498,3624
396,2012-01-31,spring,2012,Jan,Tue,Workday,Clear,0.39,0.38,0.42,0.26,324,4185,4509
397,2012-02-01,spring,2012,Feb,Wed,Workday,Clear,0.47,0.47,0.51,0.19,304,4275,4579
398,2012-02-02,spring,2012,Feb,Thu,Workday,Mist,0.40,0.40,0.67,0.19,190,3571,3761
399,2012-02-03,spring,2012,Feb,Fri,Workday,Clear,0.31,0.31,0.53,0.18,310,3841,4151
400,2012-02-04,spring,2012,Feb,Sat,Holiday,Mist,0.26,0.27,0.78,0.12,384,2448,2832
401,2012-02-05,spring,2012,Feb,Sun,Holiday,Mist,0.27,0.26,0.69,0.18,318,2629,2947
402,2012-02-06,spring,2012,Feb,Mon,Workday,Clear,0.28,0.30,0.62,0.15,206,3578,3784
403,2012-02-07,spring,2012,Feb,Tue,Workday,Clear,0.35,0.36,0.50,0.15,199,4176,4375
404,2012-02-08,spring,2012,Feb,Wed,Workday,Mist,0.26,0.27,0.72,0.13,109,2693,2802
405,2012-02-09,spring,2012,Feb,Thu,Workday,Clear,0.27,0.26,0.56,0.19,163,3667,3830
406,2012-02-10,spring,2012,Feb,Fri,Workday,Mist,0.28,0.29,0.54,0.12,227,3604,3831
407,2012-02-11,spring,2012,Feb,Sat,Holiday,Light Snow,0.22,0.21,0.73,0.29,192,1977,2169
408,2012-02-12,spring,2012,Feb,Sun,Holiday,Clear,0.13,0.10,0.46,0.41,73,1456,1529
409,2012-02-13,spring,2012,Feb,Mon,Workday,Clear,0.22,0.23,0.41,0.17,94,3328,3422
410,2012-02-14,spring,2012,Feb,Tue,Workday,Mist,0.32,0.33,0.51,0.14,135,3787,3922
411,2012-02-15,spring,2012,Feb,Wed,Workday,Clear,0.35,0.35,0.53,0.18,141,4028,4169
412,2012-02-16,spring,2012,Feb,Thu,Workday,Mist,0.32,0.33,0.75,0.09,74,2931,3005
413,2012-02-17,spring,2012,Feb,Fri,Workday,Clear,0.34,0.35,0.63,0.21,349,3805,4154
414,2012-02-18,spring,2012,Feb,Sat,Holiday,Clear,0.35,0.36,0.53,0.19,1435,2883,4318
415,2012-02-19,spring,2012,Feb,Sun,Holiday,Mist,0.28,0.27,0.52,0.25,618,2071,2689
416,2012-02-20,spring,2012,Feb,Mon,Holiday,Clear,0.28,0.27,0.51,0.23,502,2627,3129
417,2012-02-21,spring,2012,Feb,Tue,Workday,Clear,0.29,0.30,0.59,0.21,163,3614,3777
418,2012-02-22,spring,2012,Feb,Wed,Workday,Clear,0.40,0.39,0.57,0.23,394,4379,4773
419,2012-02-23,spring,2012,Feb,Thu,Workday,Clear,0.45,0.44,0.55,0.19,516,4546,5062
420,2012-02-24,spring,2012,Feb,Fri,Workday,Mist,0.41,0.41,0.74,0.24,246,3241,3487
421,2012-02-25,spring,2012,Feb,Sat,Holiday,Clear,0.29,0.26,0.40,0.42,317,2415,2732
422,2012-02-26,spring,2012,Feb,Sun,Holiday,Clear,0.28,0.27,0.41,0.21,515,2874,3389
423,2012-02-27,spring,2012,Feb,Mon,Workday,Clear,0.37,0.36,0.49,0.27,253,4069,4322
424,2012-02-28,spring,2012,Feb,Tue,Workday,Clear,0.36,0.35,0.40,0.19,229,4134,4363
425,2012-02-29,spring,2012,Feb,Wed,Workday,Mist,0.34,0.35,0.80,0.18,65,1769,1834
426,2012-03-01,spring,2012,Mar,Thu,Workday,Clear,0.49,0.48,0.62,0.23,325,4665,4990
427,2012-03-02,spring,2012,Mar,Fri,Workday,Mist,0.35,0.36,0.66,0.14,246,2948,3194
428,2012-03-03,spring,2012,Mar,Sat,Holiday,Mist,0.41,0.41,0.62,0.16,956,3110,4066
429,2012-03-04,spring,2012,Mar,Sun,Holiday,Clear,0.33,0.30,0.40,0.33,710,2713,3423
430,2012-03-05,spring,2012,Mar,Mon,Workday,Clear,0.24,0.24,0.51,0.23,203,3130,3333
431,2012-03-06,spring,2012,Mar,Tue,Workday,Clear,0.26,0.26,0.46,0.20,221,3735,3956
432,2012-03-07,spring,2012,Mar,Wed,Workday,Clear,0.40,0.39,0.51,0.35,432,4484,4916
433,2012-03-08,spring,2012,Mar,Thu,Workday,Clear,0.53,0.52,0.57,0.44,486,4896,5382
434,2012-03-09,spring,2012,Mar,Fri,Workday,Mist,0.41,0.40,0.41,0.41,447,4122,4569
435,2012-03-10,spring,2012,Mar,Sat,Holiday,Clear,0.29,0.28,0.35,0.23,968,3150,4118
436,2012-03-11,spring,2012,Mar,Sun,Holiday,Clear,0.36,0.36,0.48,0.22,1658,3253,4911
437,2012-03-12,spring,2012,Mar,Mon,Workday,Clear,0.47,0.46,0.49,0.21,838,4460,5298
438,2012-03-13,spring,2012,Mar,Tue,Workday,Clear,0.56,0.54,0.62,0.24,762,5085,5847
439,2012-03-14,spring,2012,Mar,Wed,Workday,Clear,0.57,0.55,0.51,0.12,997,5315,6312
440,2012-03-15,spring,2012,Mar,Thu,Workday,Clear,0.56,0.53,0.58,0.15,1005,5187,6192
441,2012-03-16,spring,2012,Mar,Fri,Workday,Mist,0.44,0.44,0.84,0.11,548,3830,4378
442,2012-03-17,spring,2012,Mar,Sat,Holiday,Mist,0.51,0.51,0.76,0.11,3155,4681,7836
443,2012-03-18,spring,2012,Mar,Sun,Holiday,Mist,0.47,0.46,0.81,0.13,2207,3685,5892
444,2012-03-19,spring,2012,Mar,Mon,Workday,Clear,0.55,0.53,0.73,0.16,982,5171,6153
445,2012-03-20,spring,2012,Mar,Tue,Workday,Clear,0.56,0.54,0.81,0.12,1051,5042,6093
446,2012-03-21,summer,2012,Mar,Wed,Workday,Mist,0.53,0.51,0.82,0.09,1122,5108,6230
447,2012-03-22,summer,2012,Mar,Thu,Workday,Clear,0.55,0.53,0.83,0.12,1334,5537,6871
448,2012-03-23,summer,2012,Mar,Fri,Workday,Mist,0.60,0.57,0.69,0.12,2469,5893,8362
449,2012-03-24,summer,2012,Mar,Sat,Holiday,Mist,0.50,0.49,0.89,0.19,1033,2339,3372
450,2012-03-25,summer,2012,Mar,Sun,Holiday,Mist,0.44,0.44,0.88,0.22,1532,3464,4996
451,2012-03-26,summer,2012,Mar,Mon,Workday,Clear,0.45,0.44,0.48,0.39,795,4763,5558
452,2012-03-27,summer,2012,Mar,Tue,Workday,Clear,0.32,0.32,0.29,0.19,531,4571,5102
453,2012-03-28,summer,2012,Mar,Wed,Workday,Clear,0.48,0.47,0.48,0.29,674,5024,5698
454,2012-03-29,summer,2012,Mar,Thu,Workday,Clear,0.49,0.48,0.44,0.32,834,5299,6133
455,2012-03-30,summer,2012,Mar,Fri,Workday,Mist,0.37,0.38,0.58,0.14,796,4663,5459
456,2012-03-31,summer,2012,Mar,Sat,Holiday,Mist,0.42,0.42,0.74,0.25,2301,3934,6235
457,2012-04-01,summer,2012,Apr,Sun,Holiday,Mist,0.43,0.42,0.68,0.17,2347,3694,6041
458,2012-04-02,summer,2012,Apr,Mon,Workday,Clear,0.43,0.43,0.50,0.31,1208,4728,5936
459,2012-04-03,summer,2012,Apr,Tue,Workday,Clear,0.47,0.46,0.40,0.10,1348,5424,6772
460,2012-04-04,summer,2012,Apr,Wed,Workday,Clear,0.54,0.53,0.47,0.18,1058,5378,6436
461,2012-04-05,summer,2012,Apr,Thu,Workday,Clear,0.43,0.43,0.37,0.22,1192,5265,6457
462,2012-04-06,summer,2012,Apr,Fri,Workday,Clear,0.40,0.39,0.38,0.30,1807,4653,6460
463,2012-04-07,summer,2012,Apr,Sat,Holiday,Clear,0.44,0.43,0.25,0.27,3252,3605,6857
464,2012-04-08,summer,2012,Apr,Sun,Holiday,Clear,0.50,0.49,0.28,0.23,2230,2939,5169
465,2012-04-09,summer,2012,Apr,Mon,Workday,Clear,0.49,0.48,0.32,0.36,905,4680,5585
466,2012-04-10,summer,2012,Apr,Tue,Workday,Clear,0.45,0.44,0.43,0.25,819,5099,5918
467,2012-04-11,summer,2012,Apr,Wed,Workday,Clear,0.35,0.34,0.47,0.30,482,4380,4862
468,2012-04-12,summer,2012,Apr,Thu,Workday,Clear,0.40,0.39,0.47,0.29,663,4746,5409
469,2012-04-13,summer,2012,Apr,Fri,Workday,Clear,0.44,0.43,0.41,0.16,1252,5146,6398
470,2012-04-14,summer,2012,Apr,Sat,Holiday,Clear,0.49,0.49,0.50,0.19,2795,4665,7460
471,2012-04-15,summer,2012,Apr,Sun,Holiday,Clear,0.61,0.57,0.51,0.23,2846,4286,7132
472,2012-04-16,summer,2012,Apr,Mon,Holiday,Clear,0.66,0.61,0.56,0.28,1198,5172,6370
473,2012-04-17,summer,2012,Apr,Tue,Workday,Clear,0.61,0.60,0.39,0.27,989,5702,6691
474,2012-04-18,summer,2012,Apr,Wed,Workday,Mist,0.46,0.46,0.57,0.17,347,4020,4367
475,2012-04-19,summer,2012,Apr,Thu,Workday,Clear,0.50,0.49,0.61,0.07,846,5719,6565
476,2012-04-20,summer,2012,Apr,Fri,Workday,Clear,0.53,0.52,0.69,0.15,1340,5950,7290
477,2012-04-21,summer,2012,Apr,Sat,Holiday,Clear,0.57,0.54,0.68,0.28,2541,4083,6624
478,2012-04-22,summer,2012,Apr,Sun,Holiday,Light Snow,0.40,0.39,0.84,0.34,120,907,1027
479,2012-04-23,summer,2012,Apr,Mon,Workday,Mist,0.32,0.30,0.77,0.30,195,3019,3214
480,2012-04-24,summer,2012,Apr,Tue,Workday,Clear,0.41,0.41,0.45,0.25,518,5115,5633
481,2012-04-25,summer,2012,Apr,Wed,Workday,Clear,0.48,0.47,0.43,0.12,655,5541,6196
482,2012-04-26,summer,2012,Apr,Thu,Workday,Mist,0.50,0.48,0.76,0.18,475,4551,5026
483,2012-04-27,summer,2012,Apr,Fri,Workday,Clear,0.46,0.45,0.40,0.35,1014,5219,6233
484,2012-04-28,summer,2012,Apr,Sat,Holiday,Mist,0.38,0.38,0.49,0.13,1120,3100,4220
485,2012-04-29,summer,2012,Apr,Sun,Holiday,Clear,0.46,0.45,0.59,0.12,2229,4075,6304
486,2012-04-30,summer,2012,Apr,Mon,Workday,Mist,0.46,0.46,0.57,0.17,665,4907,5572
487,2012-05-01,summer,2012,Mei,Tue,Workday,Mist,0.61,0.58,0.66,0.16,653,5087,5740
488,2012-05-02,summer,2012,Mei,Wed,Workday,Clear,0.56,0.54,0.80,0.14,667,5502,6169
489,2012-05-03,summer,2012,Mei,Thu,Workday,Mist,0.56,0.54,0.77,0.13,764,5657,6421
490,2012-05-04,summer,2012,Mei,Fri,Workday,Clear,0.63,0.59,0.74,0.16,1069,5227,6296
491,2012-05-05,summer,2012,Mei,Sat,Holiday,Mist,0.62,0.58,0.76,0.15,2496,4387,6883
492,2012-05-06,summer,2012,Mei,Sun,Holiday,Mist,0.56,0.55,0.74,0.15,2135,4224,6359
493,2012-05-07,summer,2012,Mei,Mon,Workday,Mist,0.54,0.53,0.66,0.23,1008,5265,6273
494,2012-05-08,summer,2012,Mei,Tue,Workday,Mist,0.58,0.56,0.69,0.30,738,4990,5728
495,2012-05-09,summer,2012,Mei,Wed,Workday,Mist,0.57,0.55,0.74,0.22,620,4097,4717
496,2012-05-10,summer,2012,Mei,Thu,Workday,Clear,0.51,0.49,0.55,0.31,1026,5546,6572
497,2012-05-11,summer,2012,Mei,Fri,Workday,Clear,0.53,0.52,0.36,0.24,1319,5711,7030
498,2012-05-12,summer,2012,Mei,Sat,Holiday,Clear,0.56,0.54,0.48,0.12,2622,4807,7429
499,2012-05-13,summer,2012,Mei,Sun,Holiday,Clear,0.61,0.59,0.58,0.23,2172,3946,6118
500,2012-05-14,summer,2012,Mei,Mon,Workday,Mist,0.57,0.55,0.79,0.21,342,2501,2843
